category,filename,search_term
Home & Kitchen,blender.jpg,blender
Home & Kitchen,coffee_maker.jpg,coffee maker
Home & Kitchen,air_fryer.jpg,air fryer
Home & Kitchen,electric_kettle.jpg,electric kettle
Home & Kitchen,kitchen_storage_jars.jpg,kitchen storage jars
Home & Kitchen,scented_candle.jpg,scented candle
Home & Kitchen,table_organizer.jpg,table organizer
Home & Kitchen,non_stick_fry_pan.jpg,non stick fry pan
Home & Kitchen,water_bottle.jpg,water bottle
Home & Kitchen,bedsheet_set.jpg,bedsheet set
Home & Kitchen,storage_basket.jpg,storage basket
Home & Kitchen,wall_clock.jpg,wall clock
Home & Kitchen,cotton_cushion_set.jpg,cotton cushion set
Home & Kitchen,indoor_plant.jpg,indoor plant
Home & Kitchen,ceramic_coffee_mug.jpg,ceramic coffee mug
Home & Kitchen,led_table_lamp.jpg,led table lamp
Bags,mini_backpack.jpg,mini backpack
Bags,gym_bag.jpg,gym bag
Bags,messenger_bag.jpg,messenger bag
Bags,clutch_purse.jpg,clutch purse
Bags,laptop_backpack.jpg,laptop backpack
Bags,crossbody_bag.jpg,crossbody bag
Bags,travel_duffel_bag.jpg,travel duffel bag
Bags,leather_tote_bag.jpg,leather tote bag
Bags,women_handbag.jpg,women handbag
Bags,canvas_backpack.jpg,canvas backpack
Shoes,ankle_boots.jpg,ankle boots
Shoes,formal_dress_shoes.jpg,formal dress shoes
Shoes,sandals.jpg,sandals
Shoes,loafers.jpg,loafers
Shoes,hiking_boots.jpg,hiking boots
Shoes,slip_on_shoes.jpg,slip on shoes
Shoes,high_top_sneakers.jpg,high top sneakers
Shoes,leather_oxford_shoes.jpg,leather oxford shoes
Shoes,casual_sneakers.jpg,casual sneakers
Shoes,running_shoes.jpg,running shoes
Watches,pocket_watch.jpg,pocket watch
Watches,ladies_watch.jpg,ladies watch
Watches,dive_watch.jpg,dive watch
Watches,smartwatch_pro.jpg,smartwatch pro
Watches,chronograph_watch.jpg,chronograph watch
Watches,fitness_tracker.jpg,fitness tracker
Watches,luxury_dress_watch.jpg,luxury dress watch
Watches,analog_wrist_watch.jpg,analog wrist watch
Watches,smart_watch.jpg,smart watch
Headphones,wireless_earphones.jpg,wireless earphones
Headphones,kids_headphones.jpg,kids headphones
Headphones,open_ear_headphones.jpg,open ear headphones
Headphones,gaming_headset.jpg,gaming headset
Headphones,studio_headphones.jpg,studio headphones
Headphones,sports_earphones.jpg,sports earphones
Headphones,true_wireless_earbuds.jpg,true wireless earbuds
Headphones,noise_cancelling_headphones.jpg,noise cancelling headphones
Headphones,wireless_headphones.jpg,wireless headphones
Laptops,workstation_laptop.jpg,workstation laptop
Laptops,student_laptop.jpg,student laptop
Laptops,macbook_style_laptop.jpg,macbook style laptop
Laptops,chromebook.jpg,chromebook
Laptops,2_in_1_laptop.jpg,2 in 1 laptop
Laptops,business_laptop.jpg,business laptop
Laptops,gaming_laptop.jpg,gaming laptop
Laptops,ultrabook_laptop.jpg,ultrabook laptop
Laptops,laptop_sleeve.jpg,laptop sleeve
Smartphones,camera_phone.jpg,camera phone
Smartphones,5g_smartphone.jpg,5g smartphone
Smartphones,rugged_smartphone.jpg,rugged smartphone
Smartphones,gaming_smartphone.jpg,gaming smartphone
Smartphones,foldable_smartphone.jpg,foldable smartphone
Smartphones,budget_smartphone.jpg,budget smartphone
Smartphones,android_flagship_phone.jpg,android flagship phone
Smartphones,iphone_style_smartphone.jpg,iphone style smartphone
Sports,football.jpg,football
Sports,resistance_bands.jpg,resistance bands
Sports,gym_water_bottle.jpg,gym water bottle
Sports,skipping_rope.jpg,skipping rope
Sports,yoga_mat.jpg,yoga mat
Beauty,body_mist.jpg,body mist
Beauty,hair_dryer.jpg,hair dryer
Beauty,makeup_brush_set.jpg,makeup brush set
Beauty,lip_care_set.jpg,lip care set
Beauty,face_moisturizer.jpg,face moisturizer
Beauty,floral_perfume.jpg,floral perfume
Fashion,formal_shirt.jpg,formal shirt
Fashion,baseball_cap.jpg,baseball cap
Fashion,hoodie.jpg,hoodie
Fashion,leather_wallet.jpg,leather wallet
Fashion,cotton_t_shirt.jpg,cotton t shirt
Fashion,classic_denim_jacket.jpg,classic denim jacket
Fashion,classic_sunglasses.jpg,classic sunglasses
Electronics,mini_projector.jpg,mini projector
Electronics,smart_led_bulb.jpg,smart led bulb
Electronics,gaming_controller.jpg,gaming controller
Electronics,portable_ssd_1tb.jpg,portable ssd 1tb
Electronics,led_ring_light.jpg,led ring light
Electronics,webcam_full_hd.jpg,webcam full hd
Electronics,smartphone_stand.jpg,smartphone stand
Electronics,power_bank_20000mah.jpg,power bank 20000mah
Electronics,usb_c_fast_charger.jpg,usb c fast charger
Electronics,wireless_mouse.jpg,wireless mouse
Electronics,mechanical_keyboard.jpg,mechanical keyboard
Electronics,bluetooth_speaker.jpg,bluetooth speaker
